id,text,retweet_count,reply_count,like_count
1465760817077538827,Additional times have been added for appointments for the COVID-19 shot. Book today at https://t.co/ifWWBNG2Pc Can't find a time that works? Get on the waitlist https://t.co/USbJBL6ENy https://t.co/YNSBBe0d94,0,0,0
1465760811545206796,Sweden: Get Your Covid Vaccine Passport in a Chip in Your Hand (VIDEO) https://t.co/ARNNoOWii5 via @gatewaypundit,0,0,0
1465760808772980737,"Got boosted yesterday (Pfizer)!! So far I’ve got a sore arm, fever, chills, and aches 🤒",0,0,0
1465760800727994368,"Clearly , why travel restrictions are useless and the effort should center on increasing vaccination rates https://t.co/sX4I5mRBvx",0,0,0
1465760798568026113,"St. Paul's United Church in Bowmanville [Durham health unit]
208 3rd dose Pfizer spots added
First available date is 2021-12-08
Book at https://t.co/SdjhfM4Rn5
See https://t.co/S5D7I7CsnB for detailed availability #COVID19Vaccine #vhcON",0,0,0
1465760797058084867,"St. Paul's United Church in Bowmanville [Durham health unit]
208 2nd dose Pfizer spots added
First available date is 2021-12-08
Book at https://t.co/SdjhfM4Rn5
See https://t.co/S5D7I7CsnB for detailed availability #COVID19Vaccine #vhcON",0,0,0
1465760795510329348,"St. Paul's United Church in Bowmanville [Durham health unit]
208 1st dose Pfizer spots added
First available date is 2021-12-08
Book at https://t.co/SdjhfM4Rn5
See https://t.co/S5D7I7CsnB for detailed availability #COVID19Vaccine #vhcON",0,0,0
1465760786014420994,I slept not at all last night. Last of my dual vax fever combined with my body remembering what American food has in it led to an awful night. But at least I was able to go for a walk with the fam last night. So many parks here there’s never anyone around. Nice to get out a bit.,0,0,0
1465760774421319687,India has put the hat in the ring Competing with Pfizer for African Pie of Vaccines by offering COVAXIN & Covisheild. Interesting Times !,0,0,1
1465760769753108480,COVID-19 vaccine will be available at the Devine WIC office and Castroville WIC office this Thursday December 2. It is being offered by the Health Unit. Online registration at https://t.co/DzXG3NOL2r.,0,0,0
1465760768717119501,Moderna boss says vaccines likely no match for Omicron: FT https://t.co/ACn7caeUXZ,0,0,0
1465760765965737987,"“Simply put, the Biden admin plan would kill 5,248 children via Pfizer shots in order to save 45 children from dying of COVID.
For every one child saved by the shot, 117 would be killed by the shot”. Risk/Benefit in the article. Murder. Do not COMPLY! https://t.co/egT6gpI6tl",0,0,0
1465760763109384192,"Marcus Lamb, anti-COVID vaccine Christian broadcaster, dies at 64

Marcus Lamb, known for his outspoken opposition to COVID-19 vaccines, has died after contracting coronavirus.
 https://t.co/qg3Cdo8S8Y",0,0,0
1465760762450878469,"But I’m a “conspiracy theorist” 

#VaccineMandate #VaccineSideEffects #vaccine https://t.co/EqRBrxuQqc",0,0,0
1465760762417274880,"Red states are now paying people not to get vaccinated

https://t.co/m2bwjG4ySZ",0,0,0
1465760755320508424,"Over 60000 cases in the last fortnight with less than 1 thousand hospitalised, well under 2%. More importantly, vaccine apparently protecting the over 65s, no increase in nursing home outbreaks. no increase in covid mortality! 😉 Pandemic over.",0,0,0
1465760752413941763,"“I think we should be vigilant. I think we should do what we know works, which is vaccination, distancing inside, mask-wearing, particularly in high-risk settings.""  https://t.co/gUnl1O6IUc",0,0,0
1465760752397078532,"“Spiritual attack”, my hind leg! This man died of a VIRUS infection because he refused to take the necessary steps to protect himself. Marcus Lamb, anti-COVID vaccine Christian broadcaster, dies at 64
 https://t.co/wTNnp650bm",0,0,0
1465760745132634114,"There’s this news report that I saw this weekend that I couldn’t share here, but it was about how a vegan refused to get the vaccine because of animal testing but then begged for the vaccine when he ended up in the emergency room, by which point it was too late. He didn’t make it",0,1,0
1465760743169605640,‘Why is the vaccination level so low in these countries?’ Because the drug companies want piles of money. #C4News,0,0,1
1465760742670573572,Be sure to stop by Woodland Park today until 5 p.m. to receive your COVID-19 vaccine! Help keep yourself and your community safe and healthy! #ItsYOURShot #WeAreColumbia https://t.co/2tAhNaKhi9,0,0,0
1465760741705793547,"It's terrifying how many on here want to forcibly inject people with a ""vaccine"".  Humanity has lost its way 😔",0,0,0
1465760732922929152,anybody been in lanzarote/spain recently? if so if you are vaccinated did they scan your vaccine passport code ?,0,0,0
1465760721887809538,This 2nd vaccine shot aint no joke,0,0,0
1465760719710871561,Italy Holds 'March of the Vaccine Dead' To Remember Those Killed By The COVID-19 Vaccine https://t.co/KC5H6Dtjzf @RWMaloneMD @RobertKennedyJr @jimmy_dore @MaxBlumenthal @TuckerCarlson @veritasclub,0,0,0
1465760716628049922,"3 x BioNtech here... 😎🤗! 

#Corona #covid #Covid_19 #Impfpflicht #BioNTech

https://t.co/kNDjL2AoJc",0,0,0
1465760706326720518,Shout out to Naiza @azovahealth for getting my family's digital vaccine records in order so we can hopefully travel and easily provide proof of vax,0,0,0
1465760692145901570,"𝗧𝗵𝘂𝗿𝘀𝗱𝗮𝘆 𝗡𝗼𝘃𝗲𝗺𝗯𝗲𝗿 𝟯𝟬𝘁𝗵 𝗳𝗿𝗼𝗺 𝟰:𝟯𝟬-𝟲:𝟯𝟬𝗽𝗺

Hogan Middle School (Pfizer 12+, Janssen 18+)
VCUSD 
850 Rosewood Avenue, Vallejo, CA

Walk-ins welcome! https://t.co/aa95cXWsXW",0,0,0
1465760686018121736,"Pfizer and BioNTech expected to seek authorization for boosters for teens

For more up-to-date medical headlines, visit https://t.co/8ugyCPRjur
#MedicalNews #MedTwitter #MedEd #MedNews
https://t.co/xkjKv8Njbt",0,0,0
