,so,pr,po,sn,eo,pn,en,sr,er
"""an",0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#DAYSTAR,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
#california,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
#covid19,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
+,0.0,1.0986122886681098,0.0,0.0,0.0,1.0986122886681098,0.0,2.1972245773362196,0.0
-Buy,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
-Get,0.0,0.0,6.591673732008658,0.0,0.0,0.0,0.0,0.0,0.0
-Go,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
-accorde,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
-add,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
-ve,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
.@FoxNews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
.@POTUS,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
.@PressSec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
.@abc7newsbayarea,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
.@pdoocy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
.@seanhannity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
.I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0
/comment,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
/r,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0
01:00am,0.0,0.0,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0
1.wash,0.0,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.0
