id,text,retweet_count,reply_count,like_count,topic,reception
1466131161034410000,"Boy, it might be the vaccine",0,0,0,so,-1
1466131155942580000,"Execute Order 66 in the UK? 
https://t.co/EcohbQSB4m",0,0,0,pr,0
1466131154600440000,"""Make vaccinated people aware of the remaining risk of getting infection and, as a consequence (severely) ill. People underestimate the risk of getting serious forms of COVID-19 because they place excessive faith in vaccines."" Bron: GEMS, Advies GEMS 25/11/2021
Hoe zou dat komen?",0,0,0,so,1
1466131154554260000,"Not a surprise since it was just a matter of time, but jeez... Get vaccinated and boosted y'all

First case of Omicron coronavirus variant identified in the U.S. https://t.co/HcEirz619w via @statnews",0,0,0,po,1
1466131153681850000,"Current vaccines appear to protect against Omicron - Israel 

https://t.co/5aMVF59Vwc #3mob",0,0,0,sn,1
1466131152436090000,"Slap the name of any letter from the Greek alphabet on the adverse effects/health issues from the injections when another wave rolls out and just call it a ""variant"". It keeps the endless cycle of booster shots going.

https://t.co/SVydK22ePZ",0,0,0,po,-1
1466131149395220000,After December no vaccination no job?😳 #compulsoryvaccination,0,0,0,eo,-1
1466131149122680000,Moderna's CEO says current COVID-19 vaccines likely won't work as well against Omicron https://t.co/d8gK3FqPLc via @cbsmoneywatch,0,0,0,pr,-1
1466131147105070000,"Moderna and Pfizer should not be aloud to influence the market like this saying ""our shots wont be effective"". A. you dont know yet B. it leads into more vaccine shilling and more profits. We are playing their game..",0,0,0,eo,-1
1466131144450130000,My therapist told me the population that is the most vaccinated is old people so I’m only going to hang out with the elders now lol,0,0,0,so,0
1466131142621360000,"Your illness from the virus will likely be mild, but if you get the jab, it will be severely mild.",0,0,0,so,-1
1466131141078000000,"Watching Chelsea game another member of the fans has collapsed and needs medical assistance, wonder what that is?? 🧐 same shit different day for these vaccinated. Players told to leave the field now 🤦🏾‍♂️ #WATCHE",0,0,0,so,-1
1466131140167830000,Excellent article about vaccines and their interaction with the immune system - https://t.co/5f1Clcet1f,0,0,0,so,1
1466128042334500000,"Should have sold Moderna , follow your hunches people and avoid extra dips",0,0,0,eo,0
1466131134056740000,STICK YOUR VACCINE UP YOUR ARSE,0,0,0,po,-1
1466131132324270000,"Germany 🇩🇪 @SZ headline: Sueddeutsche

This is known about the planned mandatory vaccination https://t.co/JvURZdh416",0,0,0,sn,0
1466131128067180000,"Mayor Johnson urges Savannahians to remain calm, get vaccinated amid emerging COVID variant https://t.co/TXwDFXAdsO via @WSAV",0,0,0,pn,0
1466131124405600000,"So after speaking with the nurse… didn’t get booster. As I have a fever and seeing doctor face to face on Friday it was best not to have vaccine side effects.

Guess I’m gonna have to rebook 😅.",0,0,0,so,-1
1466131117090620000,"JFC, the earliest Moderna booster I could schedule at Kaiser is in January. (This is not an invitation for suggestions on where and how to get a booster shot.)",0,0,0,sn,0
1466131115991770000,The hospital in town just reversed their mandatory vaccine policy...I think we should all come to terms that covid is here to stay,0,0,0,pn,-1
1466128047489360000,"Do any of you anti-vaccine people remember mumps, measles, scarlet fever, smallpox, rubella? Chances are your parents had you vaccinated for some of those. Get the covid vaccine, stop acting entitled and stupid.",0,0,0,so,1
1466131112481020000,Markets fall on Omicron fears as officials offer vaccine reassurance https://t.co/qEPGcq7Ro3,0,0,0,en,-1
1466131110132380000,"#3mobHealth | Current vaccines appear to protect against Omicron - Israel 

https://t.co/7jAOPnwb7t #3mob",0,0,0,sn,-1
1466131109243140000,"I think the vaccine is definitely having an effect on peoples health. Footballers and fans dropping like flies weekly, this wasn’t happening before the 💉",0,0,0,so,-1
1466131108970510000,Moderna loses patent battles and could face lawsuit over COVID vaccine https://t.co/N3zm62cliA,0,0,0,en,0
1466131106718260000,Children’s COVID-19 Vaccine: A Key to Protecting Pediatric Asthma Patients https://t.co/C2rNx2Q96L https://t.co/OgjpJj2z8U,0,0,0,sr,0
1466131104574940000,sorry but if you’re willingly not vaxxed u don’t deserve to see bts,0,0,0,po,-1
1466131100711800000,Secretary of Defense Sends out Memo to Force Full Vaccination of All Members of the Armed Forces Under DoD Authority https://t.co/XzsFeF6IFN via @getongab,0,0,0,pn,-1
