text,id,retweet_count,reply_count,like_count,topic,reception
"Boy, it might be the vaccine",1466131161034412032,0,0,0,,
"Execute Order 66 in the UK? 
https://t.co/EcohbQSB4m",1466131155942584337,0,0,0,,
"""Make vaccinated people aware of the remaining risk of getting infection and, as a consequence (severely) ill. People underestimate the risk of getting serious forms of COVID-19 because they place excessive faith in vaccines."" Bron: GEMS, Advies GEMS 25/11/2021
Hoe zou dat komen?",1466131154600443913,0,0,0,,
"Not a surprise since it was just a matter of time, but jeez... Get vaccinated and boosted y'all

First case of Omicron coronavirus variant identified in the U.S. https://t.co/HcEirz619w via @statnews",1466131154554269701,0,0,0,,
"Current vaccines appear to protect against Omicron - Israel 

https://t.co/5aMVF59Vwc #3mob",1466131153681850382,0,0,0,,
"Slap the name of any letter from the Greek alphabet on the adverse effects/health issues from the injections when another wave rolls out and just call it a ""variant"". It keeps the endless cycle of booster shots going.

https://t.co/SVydK22ePZ",1466131152436092934,0,0,0,,
After December no vaccination no job?😳 #compulsoryvaccination,1466131149395222534,0,0,0,,
Moderna's CEO says current COVID-19 vaccines likely won't work as well against Omicron https://t.co/d8gK3FqPLc via @cbsmoneywatch,1466131149122687020,0,0,0,,
"Moderna and Pfizer should not be aloud to influence the market like this saying ""our shots wont be effective"". A. you dont know yet B. it leads into more vaccine shilling and more profits. We are playing their game..",1466131147105071104,0,0,0,,
My therapist told me the population that is the most vaccinated is old people so I’m only going to hang out with the elders now lol,1466131144450134019,0,0,0,,
"Your illness from the virus will likely be mild, but if you get the jab, it will be severely mild.",1466131142621364224,0,0,0,,
"Watching Chelsea game another member of the fans has collapsed and needs medical assistance, wonder what that is?? 🧐 same shit different day for these vaccinated. Players told to leave the field now 🤦🏾‍♂️ #WATCHE",1466131141078003726,0,0,0,,
Excellent article about vaccines and their interaction with the immune system - https://t.co/5f1Clcet1f,1466131140167835651,0,0,0,,
"*TONIGHT* at PhilaMOCA : It's time for MAN ON MAN w/ EMMA LARSON! Doors at 7:30pm, music at 8 * $15 * All Ages! Mask + proof of vax required, of course! We'll see you there!

https://t.co/fr6jbzU6Yw https://t.co/3Wimk1qb4u",1466131139655917570,0,0,0,,
STICK YOUR VACCINE UP YOUR ARSE,1466131134056742912,0,0,0,,
"Germany 🇩🇪 @SZ headline: Sueddeutsche

This is known about the planned mandatory vaccination https://t.co/JvURZdh416",1466131132324270081,0,0,0,,
"Mayor Johnson urges Savannahians to remain calm, get vaccinated amid emerging COVID variant https://t.co/TXwDFXAdsO via @WSAV",1466131128067186695,0,0,0,,
"So after speaking with the nurse… didn’t get booster. As I have a fever and seeing doctor face to face on Friday it was best not to have vaccine side effects.

Guess I’m gonna have to rebook 😅.",1466131124405604366,0,0,0,,
"JFC, the earliest Moderna booster I could schedule at Kaiser is in January. (This is not an invitation for suggestions on where and how to get a booster shot.)",1466131117090623492,0,0,0,,
The hospital in town just reversed their mandatory vaccine policy...I think we should all come to terms that covid is here to stay,1466131115991777285,0,0,0,,
Hate to be that guy but… vaccine,1466131115895361543,0,0,0,,
Markets fall on Omicron fears as officials offer vaccine reassurance https://t.co/qEPGcq7Ro3,1466131112481026052,0,0,0,,
"#3mobHealth | Current vaccines appear to protect against Omicron - Israel 

https://t.co/7jAOPnwb7t #3mob",1466131110132387848,0,0,0,,
"I think the vaccine is definitely having an effect on peoples health. Footballers and fans dropping like flies weekly, this wasn’t happening before the 💉",1466131109243142145,0,0,0,,
Moderna loses patent battles and could face lawsuit over COVID vaccine https://t.co/N3zm62cliA,1466131108970512390,0,0,0,,
Children’s COVID-19 Vaccine: A Key to Protecting Pediatric Asthma Patients https://t.co/C2rNx2Q96L https://t.co/OgjpJj2z8U,1466131106718261250,0,0,0,,
sorry but if you’re willingly not vaxxed u don’t deserve to see bts,1466131104574943232,0,0,0,,
Secretary of Defense Sends out Memo to Force Full Vaccination of All Members of the Armed Forces Under DoD Authority https://t.co/XzsFeF6IFN via @getongab,1466131100711804933,0,0,0,,
